Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,OddHome,OddDraw,OddAway,Over25,Under25
SP1,2010-01-02,Ath Madrid,Sevilla,1738.46,1835.74,4.0,7.0,4.0,8.0,2.0,1.0,H,2.63,3.3,2.63,1.82,1.93
SP1,2010-01-02,Barcelona,Villarreal,1989.8,1760.65,9.0,13.0,9.0,12.0,1.0,1.0,D,1.33,4.75,10.0,1.49,2.45
SP1,2010-01-02,Valencia,Espanol,1816.9,1681.03,4.0,8.0,3.0,3.0,1.0,0.0,H,1.44,4.33,7.0,1.79,1.97
SP1,2010-01-03,Almeria,Xerez,1648.75,1594.42,1.0,1.0,0.0,1.0,1.0,0.0,H,1.8,3.5,4.5,2.07,1.71
SP1,2010-01-03,Getafe,Valladolid,1728.24,1666.64,6.0,12.0,5.0,6.0,1.0,0.0,H,1.8,3.5,4.5,1.79,1.97
SP1,2010-01-03,Mallorca,Ath Bilbao,1785.58,1718.81,6.0,10.0,6.0,10.0,2.0,0.0,H,2.0,3.5,3.6,1.83,1.92
SP1,2010-01-03,Osasuna,Real Madrid,1691.16,1904.7,1.0,4.0,9.0,12.0,0.0,0.0,D,7.0,4.33,1.44,1.65,2.17
SP1,2010-01-03,Santander,Tenerife,1687.66,1633.8,6.0,6.0,4.0,5.0,2.0,0.0,H,2.0,3.4,3.75,1.94,1.81
SP1,2010-01-03,Sp Gijon,Malaga,1655.67,1671.63,0.0,4.0,5.0,7.0,2.0,2.0,D,2.0,3.4,3.75,2.08,1.69
SP1,2010-01-03,Zaragoza,La Coruna,1671.18,1748.95,0.0,1.0,2.0,8.0,0.0,0.0,D,2.6,3.25,2.7,1.95,1.81
E0,2010-01-05,Stoke,Fulham,1621.51,1737.53,0.0,1.0,4.0,8.0,3.0,2.0,H,2.63,3.25,2.75,2.24,1.61
I1,2010-01-06,Atalanta,Napoli,1616.77,1666.15,1.0,4.0,7.0,9.0,0.0,2.0,A,2.63,3.0,2.88,2.02,1.75
I1,2010-01-06,Bari,Udinese,1636.67,1682.92,6.0,9.0,3.0,3.0,2.0,0.0,H,2.2,3.1,3.5,2.19,1.63
